Clade1 genetic diversity																			
6	DHS12	19	19	115	117	67	77	39	39	27	27	21	21	51	55	15	15	5	11
6	DHS13	19	19	117	117	17	19	35	43	23	27	21	21	49	49	15	15	7	7
6	DHS14	21	21	105	105	17	19	41	41	27	27	21	21	51	51	15	15	9	9
6	DHS15	17	19	117	121	15	17	41	41	23	25	21	21	51	51	15	17	7	7
6	DHS16	19	19	117	119	13	15	37	39	25	27	19	21	51	51	15	17	3	9
6	DHS17	21	21	105	105	17	19	37	41	27	27	21	21	53	53	15	15	5	5
6	DHS18	19	21	119	119	19	21	41	41	27	27	21	21	51	57	17	31	5	7
6	DHS19	19	19	119	123	23	25	39	39	27	27	21	21	51	51	15	33	5	7
6	DHS20	19	19	113	121	21	23	43	43	27	27	21	21	0	0	15	25	5	13
6	DHS21	19	19	99	117	17	21	39	39	27	27	21	21	51	51	17	27	5	11
6	DHS22	19	19	117	121	19	21	39	41	27	27	21	21	55	55	15	15	11	11
6	DHS23	19	21	115	127	17	19	39	41	23	27	21	21	53	53	15	17	5	11
6	DHS24	19	21	113	135	13	15	41	43	27	27	21	21	53	53	0	0	3	9
7	HN1	19	19	107	117	55	55	43	47	23	27	21	21	49	53	15	15	11	11
7	HN2	19	194	101	105	65	65	43	45	17	21	21	21	51	53	11	17	0	0
7	HN3	19	19	111	121	57	57	43	43	27	27	21	21	49	49	15	15	11	11
7	HN4	23	23	105	117	55	57	47	47	27	27	21	21	49	53	17	17	11	11
7	HN5	19	19	111	121	57	57	43	43	27	27	21	21	49	49	15	15	11	11
7	HN6	19	19	111	135	57	59	43	47	27	27	21	21	49	49	17	17	7	11
7	HN7	19	19	109	119	57	59	43	43	27	27	21	21	51	51	15	25	7	11
7	HN8	19	19	109	119	57	59	41	43	23	27	21	21	51	53	17	25	7	7
7	HN9	19	19	121	127	51	55	41	41	27	27	21	21	111	111	15	49	11	11
7	HN10	17	19	115	117	53	73	37	39	23	27	21	21	111	111	43	47	5	5
7	HN11	21	21	115	137	57	67	43	43	23	23	21	21	111	111	15	25	9	11
7	HN12	19	19	121	121	59	59	43	43	23	27	21	21	111	111	15	35	5	11
7	HN13	19	21	107	117	55	59	37	41	1	23	21	21	111	111	15	15	5	9
7	HN14	19	21	117	117	53	59	41	43	27	27	21	21	111	111	15	15	7	9
7	HN15	19	19	99	99	59	59	37	41	1	23	21	21	111	111	15	15	5	11
7	HN16	19	21	99	105	55	65	39	41	25	27	21	21	111	53	15	15	0	0
7	HN17	19	21	115	129	61	65	39	41	27	27	21	21	111	111	15	15	7	11
7	HN18	19	19	111	113	55	59	41	41	27	27	21	21	111	111	15	51	9	11
7	HN19	19	19	105	115	53	55	41	43	25	27	21	21	53	53	15	51	9	9
7	HN20	17	19	99	115	57	59	39	51	27	27	21	21	47	53	25	43	11	11
8	SD1	21	21	115	115	59	59	0	0	23	23	21	21	55	55	17	17	5	7
8	SD2	19	19	135	135	57	57	43	43	27	27	21	21	49	51	51	51	11	11
8	SD3	19	19	119	119	59	67	43	43	25	27	21	21	47	49	17	17	7	11
8	SD4	15	17	111	117	15	29	37	41	1	1	11	11	1	1	17	29	51	51
8	SD5	19	19	111	117	57	57	43	43	23	29	11	11	49	53	17	17	7	11
8	SD6	19	21	115	119	53	67	43	47	27	27	11	11	53	57	15	15	7	11
8	SD7	21	21	117	117	61	61	43	43	23	27	11	11	51	51	15	15	9	9
8	SD8	17	19	97	113	57	59	43	43	27	27	11	25	47	47	15	25	9	9
8	SD9	21	21	99	113	55	63	37	41	29	29	21	21	47	51	17	17	0	0
8	SD10	17	19	99	115	55	63	43	43	23	27	21	21	49	51	15	15	9	11
8	SD13	13	13	111	111	17	17	39	41	1	1	11	11	3	3	21	31	47	47
8	SD14	21	21	109	131	45	61	43	43	27	27	21	21	49	49	15	25	9	11
8	SD15	17	17	111	111	63	63	43	43	27	27	21	21	51	51	17	17	7	7
8	SD16	19	19	97	119	55	57	41	43	27	29	21	23	47	53	17	17	9	11
8	SD17	19	19	115	117	55	57	43	43	27	27	21	21	49	53	17	17	9	9
8	SD18	17	19	119	127	45	63	43	43	27	27	21	21	51	61	17	17	7	9
8	SD19	17	21	117	121	55	63	43	43	23	27	21	21	47	61	17	17	11	11
8	SD20	19	19	117	119	61	63	43	43	27	27	21	21	51	53	15	15	7	7
9	NN1	19	21	105	111	63	69	43	43	27	27	21	21	53	53	13	15	5	7
9	NN2	19	21	99	103	63	69	39	43	27	27	21	21	53	53	15	15	9	9
9	NN3	17	19	103	103	63	69	41	43	25	27	21	21	53	53	15	15	7	9
9	NN4	17	19	115	117	55	57	41	43	23	27	21	21	53	53	13	15	7	9
9	NN5	17	19	103	103	55	57	43	43	27	27	21	21	53	53	19	19	7	7
9	NN6	17	19	83	103	55	55	39	39	27	27	21	21	51	53	15	15	9	11
9	NN7	13	19	81	81	57	57	39	43	27	27	21	21	53	53	15	15	7	7
9	NN8	17	19	99	103	53	57	39	43	27	27	21	21	53	53	15	17	7	11
9	NN9	17	19	103	111	57	69	41	41	35	43	21	21	53	53	17	17	5	7
9	NN10	13	19	103	103	57	57	41	43	27	27	21	21	53	53	15	31	9	9
9	NN11	17	19	103	103	55	57	39	41	29	29	21	21	53	53	15	27	9	11
9	NN12	17	19	103	111	55	57	37	39	23	27	21	21	53	53	15	27	7	11
9	NN13	19	19	101	103	57	59	41	43	19	21	21	21	53	53	15	15	9	9
9	NN14	19	21	103	111	53	63	41	43	27	27	21	21	53	53	15	15	7	7
9	NN15	13	19	119	121	71	73	37	49	25	27	21	21	53	53	25	25	5	7
9	NN16	19	19	115	117	53	55	41	43	23	27	21	21	53	53	15	25	5	7
9	NN17	13	19	113	113	65	67	41	41	29	31	21	21	53	55	13	15	7	9
9	NN18	19	19	103	109	57	73	37	37	27	27	21	21	53	53	25	33	5	7
9	NN19	13	19	109	121	57	73	37	45	25	27	21	21	53	53	23	25	3	5
10	DA1	17	21	107	109	31	33	47	49	23	25	21	21	49	55	43	45	5	5
10	DA2	17	17	105	105	53	53	47	49	23	23	21	21	53	53	17	43	1	5
10	DA3	17	17	105	119	17	33	45	45	23	31	23	23	51	51	29	45	7	7
10	DA4	17	19	107	107	57	71	49	49	21	21	21	21	51	53	51	51	7	21
10	DA5	17	17	103	105	17	27	47	53	23	25	21	21	51	51	29	39	7	7
10	DA6	17	17	103	111	59	63	43	51	23	23	21	21	51	51	43	45	5	7
10	DA7	17	19	109	109	49	55	45	53	23	23	21	21	49	51	29	41	7	13
10	DA8	17	17	111	111	67	67	41	49	23	23	21	21	49	51	47	47	1	7
10	DA9	17	17	103	109	19	35	47	47	23	23	21	21	51	51	61	61	7	7
10	DA10	17	19	103	109	33	47	51	51	23	25	21	21	49	53	39	67	7	21
10	DA11	17	19	103	103	35	35	57	57	27	27	21	21	51	51	1	33	9	9
10	DA12	21	21	0	0	27	29	49	53	23	23	21	21	49	53	61	61	5	5
10	DA13	17	19	105	111	25	49	45	49	25	25	21	21	49	51	61	61	5	5
10	DA14	17	17	97	111	49	57	47	47	23	27	21	21	49	53	47	51	5	5
10	DA15	17	17	105	113	27	33	43	43	23	23	21	21	49	51	49	49	7	7
10	DA16	17	17	103	107	51	51	41	41	27	27	21	21	49	49	63	63	7	7
10	DA17	17	17	115	115	51	51	43	43	0	0	21	21	0	0	61	61	7	7
10	DA18	17	17	105	107	31	37	43	49	23	23	21	21	53	55	61	75	7	7
10	DA19	17	17	105	105	33	33	47	47	23	25	21	21	51	51	71	71	15	17
11	WN1	17	17	105	111	49	61	43	43	23	23	21	21	53	53	47	67	7	7
11	WN2	17	17	107	109	49	63	41	43	25	27	21	25	53	59	33	39	1	1
11	WN3	17	17	105	105	67	67	43	43	23	23	21	21	55	57	49	49	7	7
11	WN4	17	19	101	103	49	49	41	43	23	25	21	21	61	61	29	41	7	7
11	WN5	17	17	105	105	49	49	43	43	25	25	21	21	61	61	39	39	7	7
11	WN6	17	17	109	109	45	45	41	41	25	25	21	21	55	55	49	49	5	5
11	WN7	17	17	101	107	49	57	41	43	23	25	21	21	53	53	41	45	7	7
11	WN8	17	17	99	107	69	69	43	43	23	25	21	21	51	61	49	49	7	7
11	WN9	17	17	103	105	61	63	41	41	21	23	21	21	53	53	39	51	7	7
11	WN10	17	17	105	105	49	65	41	41	29	29	21	21	63	65	15	41	7	7
12	VH1	19	21	111	119	59	59	35	47	25	27	19	19	47	51	17	17	5	9
12	VH2	19	21	99	115	55	57	35	39	27	27	19	19	51	51	17	17	7	11
12	VH3	19	19	99	99	59	67	53	53	23	23	19	19	51	51	17	25	7	9
12	VH4	17	19	111	119	55	57	35	37	23	27	19	19	49	51	17	17	5	11
12	VH5	19	19	99	119	53	57	0	0	23	27	19	19	51	51	17	17	5	5
12	VH6	19	19	119	121	59	65	37	45	25	27	19	21	51	51	17	17	5	7
12	VH7	17	19	0	0	55	57	37	43	23	27	19	19	51	51	11	11	9	11
12	VH8	19	19	0	0	57	59	33	33	27	27	19	19	51	51	17	17	5	7
12	VH9	19	19	0	0	55	55	35	35	23	27	19	19	51	51	17	17	7	11
12	VH10	19	19	99	99	53	65	45	49	27	27	19	19	0	0	17	17	5	5
12	VH11	17	19	117	117	55	57	35	41	27	27	19	19	51	51	17	17	7	9
12	VH12	19	19	0	0	63	63	21	37	27	27	19	19	51	51	17	17	7	7
13	CP1	19	19	97	99	57	59	39	43	27	27	19	19	51	51	17	17	7	7
13	CP2	19	21	0	0	67	67	41	41	23	27	19	19	51	51	17	17	7	11
13	CP3	19	19	117	125	53	53	39	43	23	27	19	19	51	51	17	17	7	9
13	CP4	19	21	113	115	57	61	45	47	21	23	19	19	51	51	17	17	5	7
13	CP5	19	19	0	0	51	51	45	53	21	23	19	19	51	51	17	17	9	9
13	CP6	19	19	0	0	51	53	31	31	23	23	0	0	51	51	17	17	7	11
13	CP7	19	19	97	99	57	63	35	49	25	27	19	19	51	51	17	17	3	9
13	CP8	19	19	125	125	53	53	39	43	23	23	19	19	51	51	17	17	7	9
14	NP1	19	23	99	99	57	59	35	41	25	27	17	19	51	51	17	35	9	9
14	NP2	19	19	97	117	55	59	39	43	23	27	19	19	51	51	17	29	9	11
15	MH1	1	19	0	0	5	9	0	0	23	23	19	19	77	77	0	0	35	35
15	MH2	5	19	81	81	7	7	7	9	15	17	19	19	79	83	61	63	35	35
15	MH3	5	5	81	81	7	7	7	7	17	19	19	19	75	77	57	67	35	35
15	MH4	5	19	81	81	7	7	5	5	15	17	19	19	77	77	61	61	35	35
15	MH5	5	19	81	81	7	7	5	7	17	17	19	19	77	77	53	53	35	35
15	MH6	3	5	0	0	7	7	7	9	15	15	19	19	77	77	63	63	35	35
15	MH7	5	5	81	81	7	7	7	7	17	17	19	19	77	83	53	53	35	35
15	MH8	0	0	0	0	3	7	0	0	23	25	19	19	79	79	0	0	35	35
15	MH9	5	19	81	81	7	7	7	9	15	17	19	19	77	77	59	59	35	35
15	MH10	5	19	81	81	7	7	7	7	17	17	19	19	83	83	59	59	35	35
15	MH11	5	19	0	0	7	7	7	9	21	21	19	19	77	77	0	0	35	35
15	MH12	5	19	0	0	7	7	7	7	15	15	19	19	77	77	53	59	35	35
15	MH13	3	7	81	81	7	7	7	7	13	13	19	19	77	87	57	67	35	35
15	MH14	5	9	0	0	0	0	0	0	9	23	19	19	79	89	57	63	35	35
15	MH15	0	0	0	0	0	0	0	0	21	23	19	19	0	0	55	55	35	35
15	MH16	5	5	81	81	7	7	9	9	17	17	19	19	77	83	55	55	35	35
15	MH17	5	19	81	81	7	7	7	7	17	17	19	19	77	77	65	65	35	35
15	MH18	23	23	0	0	7	7	0	0	19	19	19	19	81	81	0	0	39	39
15	MH19	5	7	0	0	7	7	7	7	15	15	19	19	77	79	0	0	35	35
15	MH20	5	7	81	81	7	7	7	9	15	15	19	19	75	77	53	61	35	35
16	ML1	0	0	81	81	7	7	0	0	15	15	19	19	75	75	51	59	35	35
16	ML2	5	5	81	81	7	7	7	7	15	15	19	19	75	79	0	0	35	35
16	ML3	5	5	0	0	7	7	7	7	17	17	19	19	77	79	55	55	35	35
16	ML4	7	7	0	0	7	7	7	7	15	15	19	19	75	77	55	71	35	35
16	ML5	5	5	0	0	7	7	7	11	15	21	19	19	75	75	55	59	35	35
16	ML6	7	7	0	0	7	7	7	7	17	17	19	19	79	79	0	0	0	0
16	ML7	7	7	81	81	7	7	7	7	13	21	19	19	65	65	53	59	35	35
16	ML8	5	5	81	81	7	7	7	7	15	17	19	19	65	65	55	59	35	35
16	ML9	5	5	81	81	7	7	7	7	13	15	19	19	75	85	0	0	35	35
16	ML10	5	5	0	0	7	7	7	7	15	15	19	19	75	81	53	61	35	35
16	ML11	5	7	81	81	7	7	7	7	15	15	19	19	75	75	55	55	35	35
16	ML12	0	0	0	0	9	9	0	0	9	9	19	19	0	0	55	55	37	37
16	ML13	5	5	0	0	7	7	7	7	19	19	19	19	83	83	53	55	35	39
16	ML14	5	5	81	81	7	7	7	7	17	17	19	19	75	77	51	51	35	35
16	ML15	5	7	81	81	7	7	7	7	15	17	19	19	75	79	43	55	35	35
16	ML16	5	5	81	81	7	7	7	7	25	25	19	19	0	0	67	67	35	35
16	ML17	5	5	81	81	7	7	7	7	23	23	19	19	79	79	63	65	35	35
16	ML18	5	5	81	81	7	7	7	7	15	15	19	19	65	75	55	61	35	35
16	ML19	5	13	81	81	7	7	7	7	15	15	19	19	83	83	59	71	35	35
16	ML20	5	7	81	81	7	7	7	7	17	19	19	19	81	83	55	55	35	35
16	ML21	7	7	81	81	7	7	7	9	15	17	19	19	85	85	17	51	35	35
16	ML22	5	5	81	81	5	7	7	7	17	17	19	19	75	81	53	63	35	35
16	ML23	5	5	81	81	7	7	7	7	17	17	19	19	77	85	53	63	35	35
16	ML24	5	5	81	81	7	7	7	7	17	17	19	19	77	77	47	59	35	35
17	QM1	5	5	81	81	7	7	5	9	17	33	13	19	77	77	53	59	33	35
17	QM2	5	7	81	81	7	7	7	7	19	33	13	19	79	87	55	55	33	33
17	QM3	5	5	81	81	7	7	11	11	17	37	15	19	83	83	59	59	33	33
17	QM4	5	5	81	81	5	5	7	7	19	39	15	19	75	77	53	55	33	33
17	QM5	7	7	81	81	7	7	7	7	41	41	13	19	77	77	59	67	35	35
17	QM6	5	7	81	81	7	7	7	9	41	41	13	19	77	77	51	63	35	35
17	QM7	5	7	81	81	7	7	7	7	21	41	13	19	77	79	0	0	35	35
17	QM8	5	5	81	81	7	7	7	7	21	41	13	19	77	79	61	61	35	35
17	QM9	5	5	81	81	7	7	9	9	21	39	13	19	0	0	63	65	35	35
17	QM10	3	5	81	81	7	7	7	7	21	41	13	19	77	77	55	61	33	33
17	QM11	0	0	81	81	7	7	5	9	35	37	13	19	77	77	53	59	37	37
17	QM12	7	7	81	81	7	7	9	9	35	35	13	19	93	93	61	61	35	35
17	QM13	7	7	81	81	7	7	7	7	25	25	13	19	0	0	53	53	35	35
17	QM14	7	7	0	0	7	9	7	7	33	33	13	19	0	0	0	0	35	37
17	QM15	5	7	81	81	7	7	7	7	15	35	13	19	77	83	61	61	35	35
17	QM16	5	5	81	81	7	7	7	9	15	35	15	19	77	81	55	55	35	35
17	QM17	0	0	0	0	5	5	0	0	19	39	0	0	0	0	0	0	35	37
17	QM18	5	7	81	81	7	7	0	0	21	41	13	19	77	85	55	61	35	35
17	QM19	5	5	81	81	7	7	7	9	15	39	13	19	77	85	53	53	33	33
17	QM20	5	5	81	81	7	7	7	9	39	39	13	19	75	79	51	61	35	35
17	QM21	5	5	81	81	7	7	7	7	37	37	11	19	81	81	51	61	35	35
17	QM22	5	5	81	81	7	7	7	9	35	35	13	19	77	81	63	63	35	35
17	QM23	5	7	81	81	7	7	7	7	13	37	13	19	79	85	49	75	35	37
17	QM24	5	7	81	81	7	7	7	9	37	37	13	19	79	81	55	57	33	33
18	CS1	5	7	81	81	7	7	7	7	17	33	19	19	79	81	59	61	35	35
18	CS2	3	5	81	81	7	7	7	7	19	37	19	19	81	81	51	51	35	35
18	CS3	5	19	81	81	7	9	7	7	17	35	19	19	77	81	45	57	35	35
18	CS4	5	7	81	81	7	7	5	7	17	35	1	19	77	79	53	53	35	35
18	CS5	5	5	81	81	7	7	7	7	15	35	19	19	77	77	53	65	35	35
18	CS6	5	7	81	81	7	7	7	7	17	33	15	19	65	79	51	51	35	37
18	CS7	5	7	81	81	7	7	5	7	15	39	19	19	83	89	53	55	35	35
18	CS8	5	7	81	81	7	7	7	9	15	21	19	19	81	83	55	59	35	35
18	CS9	7	23	81	81	7	7	7	7	15	19	17	19	79	83	53	55	33	37
18	CS10	9	9	85	85	7	7	15	15	13	17	13	19	73	75	53	67	27	29
18	CS11	5	15	81	81	7	7	7	9	17	33	19	19	77	91	55	59	35	35
18	CS12	5	19	81	81	7	7	7	7	15	33	19	19	81	81	55	55	35	35
18	CS13	5	19	81	81	7	7	7	7	33	33	19	19	77	79	49	49	35	35
18	CS14	3	7	81	81	7	7	7	7	15	19	19	19	79	79	53	59	35	35
18	CS15	3	3	81	81	7	7	7	7	13	37	19	19	65	79	51	55	35	35
18	CS16	5	5	81	81	7	7	7	7	17	17	19	19	79	81	59	67	35	35
18	CS17	5	7	81	81	7	7	7	9	17	35	19	19	79	79	47	59	35	35
18	CS18	5	23	81	81	7	7	7	7	17	37	19	19	77	77	51	65	35	39
18	CS19	5	7	81	81	7	7	5	7	17	37	19	19	77	81	59	59	35	35
18	CS20	7	25	81	81	7	7	7	7	15	37	19	19	77	79	59	59	35	35
18	CS21	5	7	81	81	7	7	7	7	35	35	19	19	81	91	49	55	35	35
18	CS22	9	25	81	81	7	11	5	7	35	35	19	19	75	81	51	55	35	37
18	CS23	5	9	81	81	7	11	3	3	15	35	19	19	83	83	59	61	35	35
18	CS24	5	7	81	81	7	7	7	7	15	35	19	19	75	83	43	65	33	33
19	QMS1	5	7	81	81	7	7	7	7	15	17	15	19	79	79	43	61	35	35
19	QMS2	5	5	81	81	7	7	7	7	15	15	17	19	85	87	51	57	35	35
