Author,Year,DOI,Plant.sp,Assoc.sp,Intxn.type,Assoc.type,Pop1,Pop2,Plant.Fst,Assoc.Fst,Geog.dist.km,Entry.by,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,Trona,MontezumaPk,0.111164,0.05676,253.818173,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,EurekaValley,MontezumaPk,0.0536,0.049209,64.164221,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,GoldPoint,MontezumaPk,0.026423,0.036627,43.5611298,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,ClaytonValley,MontezumaPk,0.073717,-0.006158,45.1116242,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,MontezumaPk,MontezumaPk,0,0,0,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,JoshuaTree,NevTestSiteII,0.052348,0.035292,316.827318,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,FreemontPk,NevTestSiteII,0.098949,0.093996,334.030747,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,KramerHills,NevTestSiteII,0.0536,0.037519,267.584856,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,Trona,NevTestSiteII,0.057964,0.077727,220.445937,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,EurekaValley,NevTestSiteII,0.081364,0.056924,168.999665,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,GoldPoint,NevTestSiteII,0.071963,0.077458,129.518534,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,ClaytonValley,NevTestSiteII,0.083699,0.071952,168.453357,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,MontezumaPk,NevTestSiteII,0.098422,0.038491,140.897107,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,NevTestSiteII,NevTestSiteII,0,0,0,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,JoshuaTree,TVSouth,0.063543,-0.006064,365.116222,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,FreemontPk,TVSouth,0.089434,0.142767,392.042246,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,KramerHills,TVSouth,0.039855,0.041541,327.236838,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,Trona,TVSouth,0.065098,0.126923,281.315356,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,EurekaValley,TVSouth,0.070289,0.138824,204.658832,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,GoldPoint,TVSouth,0.058179,0.121569,164.174854,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,ClaytonValley,TVSouth,0.093043,0.169109,197.41427,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,MontezumaPk,TVSouth,0.095408,0.068493,159.507427,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,NevTestSiteII,TVSouth,0.051992,0.072368,60.9178387,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,TVSouth,TVSouth,0,0,0,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,JoshuaTree,TikabooValley,0.062228,0.034005,377.010452,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,FreemontPk,TikabooValley,0.104115,0.085636,402.985088,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,KramerHills,TikabooValley,0.044816,0.041424,337.65412,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,Trona,TikabooValley,0.063827,0.060847,290.774718,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,EurekaValley,TikabooValley,0.055519,0.082326,205.554174,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,GoldPoint,TikabooValley,0.050564,0.08956,165.338503,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,ClaytonValley,TikabooValley,0.08143,0.091894,196.948773,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,MontezumaPk,TikabooValley,0.069973,0.003651,157.483414,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,NevTestSiteII,TikabooValley,0.062206,0.00807,70.4426962,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,TVSouth,TikabooValley,0.04048,0.025448,11.9559159,jby,
Yoder,2013,10.1111/jeb.12134,Yucca brevifolia,Tegeticula synthetica,Mutualism,Insect,TikabooValley,TikabooValley,0,0,0,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,TikabooValley,TikabooValley,0,0,0,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,TikabooValley,DelamarVal,0.093652,0.016906,61.1453924,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,DelamarVal,DelamarVal,0,0,0,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,TikabooValley,EightmileVal,0.045057,0.003319,43.7181309,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,DelamarVal,EightmileVal,0.021639,0.008557,25.3359744,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,EightmileVal,EightmileVal,0,0,0,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,TikabooValley,SheepRange,0.051078,0.015345,44.1184523,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,DelamarVal,SheepRange,0.111821,0.05581,50.5707983,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,EightmileVal,SheepRange,0.068272,-0.004042,25.7423901,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,SheepRange,SheepRange,0,0,0,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,TikabooValley,SheepPass,0.064193,0.029363,74.918208,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,DelamarVal,SheepPass,0.124166,0.076507,88.5074293,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,EightmileVal,SheepPass,0.072028,0.039972,65.1630604,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,SheepRange,SheepPass,0.052526,0.002613,40.1539746,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,SheepPass,SheepPass,0,0,0,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,TikabooValley,Shivwitts,0.082756,0.023596,149.939551,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,DelamarVal,Shivwitts,0.121605,0.016291,96.2153067,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,EightmileVal,Shivwitts,0.083947,0.007383,106.252722,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,SheepRange,Shivwitts,0.12194,0.021125,115.063808,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,SheepPass,Shivwitts,0.093576,0.050125,127.430266,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,Shivwitts,Shivwitts,0,0,0,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,TikabooValley,YuccaForest,0.047623,0.034404,118.613762,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,DelamarVal,YuccaForest,0.090222,0.009272,118.501544,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,EightmileVal,YuccaForest,0.059659,0.024161,99.7646419,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,SheepRange,YuccaForest,0.045961,0.033153,78.772558,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,SheepPass,YuccaForest,0.045941,0.080146,44.624623,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,Shivwitts,YuccaForest,0.066302,0.040688,122.335706,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,YuccaForest,YuccaForest,0,0,0,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,TikabooValley,IndianRidge,0.037577,-0.007342,110.412407,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,DelamarVal,IndianRidge,0.06742,0.033674,137.964641,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,EightmileVal,IndianRidge,0.02202,0.011725,113.54701,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,SheepRange,IndianRidge,0.044255,0.010249,87.8089824,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,SheepPass,IndianRidge,0.033095,0.035239,50.5549338,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,Shivwitts,IndianRidge,0.064535,0.023247,171.69661,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,YuccaForest,IndianRidge,0.029142,0.052971,56.6202695,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,IndianRidge,IndianRidge,0,0,0,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,TikabooValley,KingstonMtns,0.063218,0.004622,193.180367,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,DelamarVal,KingstonMtns,0.131613,0.009149,216.041094,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,EightmileVal,KingstonMtns,0.085325,0.015304,192.999856,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,SheepRange,KingstonMtns,0.101701,0.024797,167.70138,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,SheepPass,KingstonMtns,0.090433,0.04763,127.845846,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,Shivwitts,KingstonMtns,0.096501,0.012345,226.213889,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,YuccaForest,KingstonMtns,0.055002,0.02354,105.960157,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,IndianRidge,KingstonMtns,0.071215,-0.003221,82.7763116,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,KingstonMtns,KingstonMtns,0,0,0,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,TikabooValley,Cima,0.05188,0.053476,235.878019,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,DelamarVal,Cima,0.098437,0.01242,250.337659,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,EightmileVal,Cima,0.051758,0.031932,229.309503,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,SheepRange,Cima,0.072029,0.047907,205.217196,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,SheepPass,Cima,0.055676,0.068108,165.204808,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,Shivwitts,Cima,0.077404,0.029055,242.695034,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,YuccaForest,Cima,0.028914,0.035295,132.96399,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,IndianRidge,Cima,0.031291,0.047025,126.891105,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,KingstonMtns,Cima,0.04818,0.000646,50.4121737,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,Cima,Cima,0,0,0,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,TikabooValley,Searchlight,0.059149,0.010612,220.797144,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,DelamarVal,Searchlight,0.106074,0.006949,225.064064,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,EightmileVal,Searchlight,0.06688,0.011449,206.618641,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,SheepRange,Searchlight,0.045042,0.016129,184.64074,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,SheepPass,Searchlight,0.056157,0.041219,146.426633,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,Shivwitts,Searchlight,0.078366,-0.004107,204.895025,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,YuccaForest,Searchlight,0.016799,0.02614,106.908658,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,IndianRidge,Searchlight,0.032285,-0.007634,119.843888,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,KingstonMtns,Searchlight,0.058394,0.004765,69.1229859,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,Cima,Searchlight,0.016424,0.011923,44.2172809,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,Searchlight,Searchlight,0,0,0,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,TikabooValley,DolanSprings,0.060181,0.025818,237.439031,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,DelamarVal,DolanSprings,0.102609,0.005495,220.168695,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,EightmileVal,DolanSprings,0.0701,0.026667,209.367084,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,SheepRange,DolanSprings,0.071987,0.046889,194.461705,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,SheepPass,DolanSprings,0.068838,-0.03484,165.784197,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,Shivwitts,DolanSprings,0.067212,0.048183,166.373768,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,YuccaForest,DolanSprings,0.02429,0.079618,121.45418,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,IndianRidge,DolanSprings,0.042144,0.058491,163.254678,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,KingstonMtns,DolanSprings,0.069706,0.039208,144.228378,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,Cima,DolanSprings,0.038134,0.039852,123.242264,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,Searchlight,DolanSprings,0.027635,0.040394,80.213648,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,DolanSprings,DolanSprings,0,0,0,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,TikabooValley,Wikieup,0.074944,0.032305,351.951995,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,DelamarVal,Wikieup,0.116326,0.030027,332.401928,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,EightmileVal,Wikieup,0.078832,0.02943,323.16327,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,SheepRange,Wikieup,0.105453,0.043281,308.933698,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,SheepPass,Wikieup,0.067407,0.053488,279.804572,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,Shivwitts,Wikieup,0.117164,0.005722,265.9826,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,YuccaForest,Wikieup,0.056328,0.076273,235.243216,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,IndianRidge,Wikieup,0.06785,0.024637,271.594135,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,KingstonMtns,Wikieup,0.090052,0.028073,229.876731,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,Cima,Wikieup,0.054424,0.029939,188.903607,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,Searchlight,Wikieup,0.064266,0.010085,161.684812,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,DolanSprings,Wikieup,0.067207,0.062861,114.517525,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,Wikieup,Wikieup,0,0,0,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,TikabooValley,AlamoLake,0.081451,0.085828,412.067248,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,DelamarVal,AlamoLake,0.118623,0.044584,391.764039,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,EightmileVal,AlamoLake,0.079198,0.072758,383.024735,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,SheepRange,AlamoLake,0.124253,0.100645,369.023043,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,SheepPass,AlamoLake,0.076146,0.081465,339.825229,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,Shivwitts,AlamoLake,0.118836,0.064811,322.069514,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,YuccaForest,AlamoLake,0.08723,0.069667,295.237458,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,IndianRidge,AlamoLake,0.070545,0.076667,330.25838,jby,
Yoder,2013,10.1111/jeb.12134,Yucca jaegeriana,Tegeticula antithetica,Mutualism,Insect,KingstonMtns,AlamoLake,0.086483,0.067074,283.369999,jby,
