Tree ID	Population	type	crown dia	branch #	l1	w1	l2	w2	l3	w3	l4	w4	l5	w5	tree_h	h_1st_br	rel_h1b	pet_l	pet_w	pet_diag	pis_l	pis_w	sty_l	sty_bw	sty_mw
EV.09	EurekaValley	western	3	12	14	0.8	16	1	14	0.8	17	0.9	21	0.9	2.548387097	1.741935484	0.683544304	32.41	11.9	14.16	21.93	9.87	7.8	4.7	2.8
EV.10	EurekaValley	western	2.25	14	18	0.9	21	1	13	1	16	0.7	14	1.7	2.756756757	0.135135135	0.049019608	34.29	12.39	13.84	24.73	9.3	7.5	3.8	2.3
FB.01	FossilBedRd	western	4.5	67	26	1.3	16	0.9	17	0.9	17	0.9	14	0.7	5.214285714	1.821428571	0.349315068	40.68	15.04	14.41	29.11	11.49	9.2	6.8	3.9
FB.02	FossilBedRd	western	5.75	45	16	0.8	15	0.8	22	1	12	0.6	21	1	9.642857143	2.714285714	0.281481481	37.1	14.4	16.18	28.09	12.28	8.5	8.1	4.6
FB.03	FossilBedRd	western	3.5	26	20	1	16	0.8	23	1.7	17	0.8			5.37037037	2.037037037	0.379310345	33.3	12.35	10.59	23.8	10.87	9.2	7.2	3.6
FB.04	FossilBedRd	western	4	19	22	0.5	17	0.9	21	0.9	20	1.4			4.179487179	0.666666667	0.159509202	45.85	15.72	14.38	27.17	9.74	10.3	6	3.2
FB.05	FossilBedRd	western	2.75	18	17	1.1	17	0.9	20	1.2	22	1.2			3.170731707	1.414634146	0.446153846	33.9	11.82	10.51	26.48	9.7	8	4	2.6
FB.06	FossilBedRd	western	3	22	18	0.9	18	0.8	16	0.8	19	0.9	19	0.9	4.114285714	0.942857143	0.229166667	34.56	14.33	16.36	26.09	10.11	9	4.8	3.5
FB.07	FossilBedRd	western	3.75	22	15	0.7	22	1	23	1	29	1.3	23	1	4.583333333	2.305555556	0.503030303	45.3	12.92	12.52	28.09	11.27	11.7	6.7	3.6
FB.08	FossilBedRd	western	3	22	15	1.2	22	1.1	25	1.1	21	1.1	18	1.2	3.486486486	0.27027027	0.07751938	41.43	17.15	19.27	31.82	10.19	9.9	5.6	2.9
FB.09	FossilBedRd	western	4.5	29	14	0.8	16	0.9	18	0.9	18	0.9	16	0.8	4.678571429	1.071428571	0.229007634	39.18	13.24	20.66	22.61	7.49	9.4	4.4	3.1
GP.01	GoldPoint	western	3	14	24	1.2	24	1.2	14	1	21	1.2	25	1.3	3.5	1.857142857	0.530612245	28.8	13.77	16.32	24.65	10.18	10.2	7.2	3.6
GP.02	GoldPoint	western	2.25	16	22	1.1	18	1.1	21	1.2	20	1.3	20	1	3.261904762	1.071428571	0.328467153	27.43	10.05	20.53	20.06	7.37	10	5.9	3.2
GP.03	GoldPoint	western	1.75	12	15	1.6	17	1.1	12	1.2	17	1.3	18	1.2	2.894736842	1.543859649	0.533333333	21.75	10.11	13.08	17.25	9.19	6.7	6.5	1.6
GP.04	GoldPoint	western	1	3	24	1.4	20	1.5	22	1.4	22	1.4			3.06122449	2.040816327	0.666666667	30.38	10.89	9.72	21.97	9.4	7.5	4.9	3.5
GP.05	GoldPoint	western	1.25	4	23	1	19	0.9	19	1.1	21	0.9	21	1	3.239130435	2.239130435	0.691275168	36.86	10.42	9.62	23.02	7.97	8.5	5.2	2.7
GP.06	GoldPoint	western	1.75	10	20	0.6	21	1.2	24	1.1	22	1.3	26	1.2	3.47826087	1.630434783	0.46875	25.96	13.27	12.21	21.96	9.33	8.5	5.5	3.6
GP.07	GoldPoint	western	2	10	27	1	27	1.1	32	1.1	29	1.5	25	1.2	3.088235294	1.705882353	0.552380952	40.11	13.76	17.24	25.49	12.56	11.5	8.5	3.5
GP.08	GoldPoint	western	2	12	15	1	15	0.9	14	0.8	17	1	18	1	2.208955224	0	0	30.65	14.65	14.22	22.18	9.75	10.6	5.9	3.8
GP.09	GoldPoint	western	1.25	7	14	1	13	0.9	21	1.1	23	1.3	17	1.2	2.214285714	1.071428571	0.483870968	38.6	12.65	16.91	28.24	12.51	12	8.8	4
GP.10	GoldPoint	western	0.75	4	23	1	28	1.1	22	0.9	22	1			6.222222222	4.666666667	0.75	29.93	10.88	9.87	25.27	9.92	11.7	8.7	4.7
YVII.01	JoshuaTree	western	2.5	6	24	1.1	25	1.1	23	0.9	21	0.9	19	0.9	3.788888889	1.811111111	0.478005865	37.4	15.93	14.3	23.1	7.96	9.4	3.5	2.1
YVII.02	JoshuaTree	western	1.5	8	26	1.1	23	1	19	1					4.260273973	2.657534247	0.623794212	33.08	10.97	6.73	25.08	9.49	10	4.9	3.2
YVII.03	JoshuaTree	western	3.2	14	27	1.2	26	1.2	26	0.9	27	1.1	30	1.4	5.747747748	3.27027027	0.568965517	40.12	10.68	16.84	32.51	11.39	11.7	6	4.1
YVII.04	JoshuaTree	western	3.75	17	21	1.1	16	0.8	17	0.8	16	0.9	18	0.8	3.701388889	1.548611111	0.418386492	38.17	13.74	11.13	21.07	6.64	9	3.4	1.8
YVII.05	JoshuaTree	western	3.4	7	30	1	25	0.9	30	1.2	34	1	18	0.9	4.464566929	1.850393701	0.414462081	31.16	12.15	9.46	25.64	11.34	8.5	6.1	3.4
YVII.06	JoshuaTree	western	1	4	14	0.8	19	0.9	23	1.1					3.73125	2.95625	0.792294807	49.97	16.61	15.82	20.25	6.67	7.5	3.1	1.9
YVII.07	JoshuaTree	western	2	3	30	1	32	1.2	33	1.2	23	0.9			2.983471074	2.388429752	0.800554017	37.03	11.17	11.98	22.71	7.77	10.8	5.5	3.2
YVII.08	JoshuaTree	western	1.5	4	33	1	23	0.8	23	0.8	27	0.9			3.785714286	2.221428571	0.586792453	35.86	11.76	7.82	21.07	7.28	9	3.3	2.8
KH.01	KramerHills	western	1	2	15	1	22	1.2	18	1.1	18	1.2			3.307692308	2.435897436	0.736434109	37.73	15.38	20.97	23.24	10.09	7.6	5.2	2.6
KH.02	KramerHills	western	0.75	2	25	1.2	29	1.1	18	1	16	1			3.425	2.675	0.781021898	28.37	12.08	13.05	20.39	8.45	6.4	4.1	2.8
KH.03	KramerHills	western	2.5	10	29	1.3	33	0.8	37	1.2	32	1.5	36	1.4	3.731707317	1.902439024	0.509803922	41.09	12	10.03	26.1	9.9	8.3	4.1	2
KH.04	KramerHills	western	8.5	65	26	1.1	22	0.9	21	1	19	1.1			17.375	4.25	0.244604317	40.33	12.41	11.19	25.72	11.64	8	5	2
KH.05	KramerHills	western	0.5	1	25	1.1	22	1.1	21	1					3.268292683			30.23	13.28	10.95	23.44	10.16	8.2	6.3	3
KH.06	KramerHills	western	0.6	1	34	0.9	33	0.9	35	1.2	37	1			2.568965517			31.35	13.73	9.56	21.47	8.32	9.5	5.5	3
KH.07	KramerHills	western	2	7	19	0.7	17	1	19	1	22	1.2	14	0.8	3.372093023	2	0.593103448	36.85	16.98	15.53	21.3	8.01	8.6	5.5	3.2
KH.08	KramerHills	western	1.5	5	24	1.1	29	1.2	23	1	24	1.2	24	1.2	1.673913043	3.02173913	1.805194805	32.65	11.03	8.85	24.53	10.95	8.2	4.7	3.3
KH.09	KramerHills	western	3	19	21	0.8	20	1.1	16	0.8	19	1			4.571428571	2.5	0.546875	36.94	13.35	16.41	25.62	10.93	10	5.1	4
KH.10	KramerHills	western	2	10	24	1.1	25	1	22	1	25	1.7			4.743589744	1.794871795	0.378378378	47.62	14.62	12.44	28.22	11.25	7.9	4.4	3.1
LII.01	LancasterPalmdale	western	7	48	26	1	26	1	30	1	21	1.1	28	1.2				38.92	16.99	12.97	26.37	10.13	10.7	6.5	3.2
LII.02	LancasterPalmdale	western	4.75	25	27	0.9	28	1	32	1.1	32	1.2	29	1.3				34.98	12.25	10.63	21.51	7.68	8.5	4.9	3.3
LII.03	LancasterPalmdale	western	0.75	2	34	1.3	32	1.3	22	0.9	23	1.1			2.237373737	1.398989899	0.625282167	40.13	16.78	12.95	28.92	10.22	11.7	6.1	2.5
LII.04	LancasterPalmdale	western	0.5	1	31	1.4	27	1.2	30	1.3	20	0.9			1.582278481			40.19	13	26.51	22.36	6.56	10.8	4.7	2.6
LII.05	LancasterPalmdale	western	0.95	3	29	0.9	24	1	24	0.9	25	1.2			1.891719745	0.452229299	0.239057239	41.72	13.63	13.81	24.97	8.87	11.6	6.2	2.7
LII.06	LancasterPalmdale	western	3.5	16	36	1	26	0.9	35	1.2	35	1.2			2.56779661	1.144067797	0.445544554	26.76	12.07	16.99	26.2	11.72	8.7	6.2	3.3
LII.07	LancasterPalmdale	western	2	5	36	1	27	1	27	0.9	28	1			2.772277228	0.782178218	0.282142857	38.46	13.11	30.37	24.27	7.86	8.6	4.3	2.1
LII.08	LancasterPalmdale	western	4.1	15	30	1.3	40	1.3	37	1.2	32	1.1	34	1.1	3.941176471	1.682352941	0.426865672	39.52	15.87	14.03	28.31	11.06	11.3	6.4	3.2
LII.09	LancasterPalmdale	western	3	5	30	1.2	29	1	33	1.3	34	1			3.783333333	1.283333333	0.339207048	36.92	14.95	18.34	23.34	6.32	9.7	4.4	2.4
LII.10	LancasterPalmdale	western	3.7	23	34	1.2	30	1.2	39	1.3	34	1.6	28	1.1	4.666666667	1.435897436	0.307692308	40.01	13.53	15.45	23.37	9.29	9.5	5.9	3.2
LF.01	LeeFlats	western	1.75	5	15	1	22	1.4	14	1	18	1.2	21	1.3	2.68	1.16	0.432835821	62.86	16.1	44.89	30.98	10.17	11.5	7.1	3.2
LF.02	LeeFlats	western	0.75	3	28	1.1	26	1.2	25	1.2	26	1.3			2.033333333	1.45	0.713114754	64.71	16.42	27.1	34.65	11.54	12.4	5	3.3
LF.03	LeeFlats	western	1.5	5	20	1.1	21	0.9	24	1.2	26	1.5			3	1.863636364	0.621212121	56.86	16.12	22.35	29.65	10.98	12.7	8.1	2.2
LF.04	LeeFlats	western	1.5	7	31	1.3	27	1.3	26	1.1	31	1.3	29	1.5	2.755102041	0.979591837	0.355555556	63.35	11.65	19.93	25.56	6.96	11.3	5.4	2.8
LF.05	LeeFlats	western	1.75	6	21	1.1	22	1.4	25	1.5	25	1.4	20	1.1	3.093023256	1.395348837	0.45112782	41	18.05	27.31	25.71	9.04	8.4	4.3	2.6
LF.06	LeeFlats	western	2.25	10	21	1.2	26	1.2	27	1	28	1.2	23	1.1	3.547619048	1.214285714	0.342281879	46.82	15.13	20.2	27.44	10.07	10.8	6.1	2.9
LF.07	LeeFlats	western	1.5	12	23	1.1	29	1.2	31	1.1	35	1.3	33	1.2	1.211538462	3.038461538	2.507936508	51.06	15.49	21.29	27.65	10.03	14.5	6.7	2.4
LF.08	LeeFlats	western	2.5	15	17	0.7	27	1	24	1	25	1	28	1.1	3.176470588	0	0	33.6	10.97	11.77	21.98	8.4	9.3	5.6	2.9
LF.09	LeeFlats	western	1.5	2	45	1.6	32	1.4	42	1.6	34	1.5	/		2.54	1.76	0.692913386	36.9	14.5	13.88	27.46	9.66	11.4	6.3	3.3
LF.10	LeeFlats	western	1.5	8	17	0.8	17	0.9	21	1.4	20	1	17	1	2.5625	1.125	0.43902439	42.57	16.78	15.19	24.07	10.28	9.2	6.6	3.1
NTI.01	NevTestSite	western	2.6	11	21	19	18.5	19	20	1	1	1.1	1.1	1.2	3.795454545	2.318181818	0.610778443	36.21	19.37	15.93	23.79	9.39	8.6	5.8	2.7
NTI.02	NevTestSite	western	3.2	51	13.5	19	17	14	15.5	0.8	1	1	0.7	0.8	4.323529412	0.117647059	0.027210884	36.66	12.43	12.76	24.02	7.81	10.1	6.2	3.2
NTI.03	NevTestSite	western	2.6	13	18	17.5	19	16	17.5	1.1	0.9	1	1	0.9	3.760869565	1.652173913	0.439306358	34.32	12.26	14.42	23.36	7.84	11.1	4.8	3.3
NTI.04	NevTestSite	western	2.5	15	12.5	16	16.5	17	18	0.7	1.1	1	0.9	1.1	4.527777778	2.25	0.496932515	35.91	14.29	17.6	20.46	7.3	8.3	5	2.6
NTI.05	NevTestSite	western	0.75	2	26	25	NA	NA	NA	1.7	1.3	NA	NA	NA	2.887096774	2.258064516	0.782122905	42.75	13.83	19.02	23.43	7.95	9.7	5	3.8
NTI.06	NevTestSite	western	1.25	5	22	19	18.5	21	18.5	1	0.9	1.1	1.8	1.3	3.28	2.12	0.646341463	40.92	16.97	18.15	25.1	10.04	9.7	6.3	3.7
NTI.07	NevTestSite	western	0.5	1	30	NA	NA	NA	NA	1	NA	NA	NA	NA	2.385714286			41.98	14.95	15.84	24.59	9.22	12.3	6.9	3.5
NTI.08	NevTestSite	western	1	2	28	27	NA	NA	NA	1.1	0.9	NA	NA	NA	3.391304348	2.369565217	0.698717949	37.91	14.33	15.57	23.52	7.56	10.6	5.1	2.4
NTI.09	NevTestSite	western	2.6	10	21	17	26	21	28.5	1.1	0.9	1.2	0.9	1.4	3.553191489	1.893617021	0.532934132	40.06	12.96	16.6	28.62	10.37	12.6	6.9	2.9
NTI.10	NevTestSite	western	2.3	10	21	19	25	NA	NA	1	0.9	1.2	NA	NA	3.975609756	1.756097561	0.441717791	39.56	14.48	18.12	26.53	8.69	11.6	5.8	2.1
NTII.01	NevTestSiteII	western	2.5	10	19	21	18	NA	NA	0.9	1	1.1	NA	NA	4.325581395	2.674418605	0.61827957	37.73	17.19	17.44	27.58	12.7	10.8	8.6	3.3
NTII.02	NevTestSiteII	western	1.5	7	17	17.5	21	17.5	18	1.1	0.9	1.2	0.7	1	3.413043478	1.739130435	0.50955414	33	13.42	13.29	25.71	11.01	8.3	6.6	2.7
NTII.03	NevTestSiteII	western	0.5	1	27.5	NA	NA	NA	NA	1.3	NA	NA	NA	NA				39.76	16.68	17.92	26.36	10.24	12	7.4	3.8
NTII.04	NevTestSiteII	western	1.25	4	23	25	21	21	NA	1.3	1.1	1.2	1.3	NA	3.288461538	1.673076923	0.50877193	30.17	10.49	12.67	24.32	9.92	10.7	7.1	3.7
NTII.05	NevTestSiteII	western	2	13	23.5	26	21	21	20	1.2	1.3	1.1	1.1	1	3.462962963	0.388888889	0.112299465	49.16	14.63	16.38	25.78	10.15	12.5	8	4.7
NTII.06	NevTestSiteII	western	1.7	15	21	16.5	19.5	16	22.5	1.4	1.1	1.1	1	1.2	2.8125	1.5625	0.555555556	37.14	12.48	15.73	22.87	9.52	11.7	8.2	4.1
NTII.07	NevTestSiteII	western	2.7	15	18	21	18	18	NA	1.8	1.1	1.2	1	NA	4.631578947	2.815789474	0.607954545	50.78	15.84	36.5	32.8	10.2	13.5	6.2	3.7
NTII.08	NevTestSiteII	western	2.2	9	28	26	22	NA	NA	1.2	1.2	0.9	NA	NA	3.953488372	2.627906977	0.664705882	27.06	9.68	10.94	23.93	10.09	8.2	5.6	3.3
NTII.09	NevTestSiteII	western	1	2	25	25.5	NA	NA	NA	1.3	1.3	NA	NA	NA	3.818181818	2.772727273	0.726190476	41.17	14.04	18.03	22.82	7.95	10.4	5.1	1.9
NTII.10	NevTestSiteII	western	1.2	8	14	22	27	20	22	0.9	1.1	1.1	1.3	1	3.777777778	1.6	0.423529412	26.66	13.36	10.23	21.24	9.23	7.6	5.6	2.8
SA.01	SanAndreas	western	3	15	25	1.1	22	1.1	24	1.2	25	1.1	25	1	2.978378378	1.021621622	0.343012704	38.81	9.98	8.11	29.52	9.39	9.2	5.3	2.2
SA.02	SanAndreas	western	1	2	29	1	24	0.9	27	1.1	28	1.1			3.18487395	2.697478992	0.846965699	48.83	15.36	18.68	26.65	10.18	11.8	5	2.4
SA.03	SanAndreas	western	3	14	23	0.8	27	0.8	22	0.8	25	0.9	23	0.7	3.367924528	1.849056604	0.549019608	36.56	13.1	10.06	23.37	9.65	9.5	4.9	2.9
SA.04	SanAndreas	western	3.5	27	26	0.9	30	1	28	0.9	25	1	26	1.6	4.292035398	1.769911504	0.412371134	48.23	14.27	21.94	28.32	9.25	11.7	6.3	2.4
SA.05	SanAndreas	western	1.9	4	27	1.1	29	1.2	29	1.3	22	1.2			2.905511811	1.283464567	0.441734417	37.75	14.23	27.13	29.06	10.94	12.6	6.2	2.7
SA.06	SanAndreas	western	1	2	27	1.2	29	1.2	27	1.2	28	1.2			2.286885246			39.12	15.51	12.8	26.83	8.76	11.6	5.3	2.3
SA.07	SanAndreas	western	2	12	19	0.9	20	1	22	0.8	27	1			3.65	1.8625	0.510273973	36.41	10.38	8.39	23.03	8.84	9.2	5	2.1
SA.08	SanAndreas	western	4	27	23	0.9	25	0.9	20	0.8	15	0.7	29	0.9	5.334	1.342918034	0.251765661	34.83	13.19	11.76	22.48	8.29	8.7	4	2.3
SA.09	SanAndreas	western	1	4	23	1.4	22	1.2	22	1.2	26	1.2			2.382222222	1.368888889	0.574626866	40.79	16.22	15.24	23.53	7.55	11.2	3.9	1.7
SA.10	SanAndreas	western	2	7	19	0.9	22	1	18	0.8	20	0.9			4	2.226190476	0.556547619	31.79	11.13	7.52	23.37	7.9	9.5	4.9	2.9
TR.01	Trona	western	2	25	25	1.5	21	1.1	19	1.1	20	1.5	17	1.4	4.052631579	1.631578947	0.402597403	29.31	15.4	12.42	25.17	10.99	7	6.2	3.5
TR.02	Trona	western	4.5	37	14	0.9	16	1.3	16	1	17	1.2	18	1.4	6.041666667	2.083333333	0.344827586	41.31	14.05	17.64	28.57	9.48	13.9	8.1	4
TR.03	Trona	western	2.5	12	21	1.1	16	0.8	23	1.2	22	1.1	18	0.8	3.577777778	1.377777778	0.385093168	52.41	13.02	22.48	28.55	10.15	12.4	4.9	2.7
TR.04	Trona	western	1.25	3	26	1.3	29	1.3	25	1.3	30	1.3	30	1.5	3.227272727	1.818181818	0.563380282	33.57	14.04	16.48	25.1	11.53	10.2	6.7	4.2
TR.05	Trona	western	3	9	19	0.8	19	0.7	20	0.8	19	0.9	17	0.7	4.179487179	1.846153846	0.441717791	31.78	10.4	9.79	21.25	8.65	8.8	6.6	2.5
TR.06	Trona	western	1.25	5	24	0.8	26	0.6	25	1	25	0.9	29	1.1	3.189189189	1.864864865	0.584745763	46.65	11.33	18.59	28.34	9.28	11.2	5.7	3.2
TR.07	Trona	western	5	47	22	0.9	19	0.9	21	0.8	17	0.9	17	0.7	5	1.863636364	0.372727273	27.47	10.99	13.8	20.31	8.67	10	7	2.7
TR.08	Trona	western	5.25	27	23	1	25	1	28	0.9	35	1.3	31	1.3	5.535714286	0.928571429	0.167741935	31.76	13.11	10.11	24.13	9.1	7.1	4.3	1.3
TR.09	Trona	western	3.75	34	22	0.9	20	0.6	19	0.9	14	0.8	13	0.8	5.275862069	0.413793103	0.078431373	37.69	17.45	20.38	26.78	9.4	10.1	4.7	2.3
TR.10	Trona	western	1.5	6	24	1.1	28	0.9	22	0.9	19	0.8	21	0.8	2.956521739	1.891304348	0.639705882	24.36	12.27	14.51	23.42	10.58	8.9	7	3.7
AC2.01	AlamoCross	eastern	3.8	27	24	0.9	30	1.1	26.5	8	27	0.8	20	0.9	4.14084507	0.704225352	0.170068027	36.83	10.74	18.92	20.65	7.15	6.2	5.5	4.5
AC2.02	AlamoCross	eastern	1.25	3	22	1.1	27.5	1.2	26	1.2	28	1.1			2.46969697	0.96969697	0.392638037	46.4	12.69	25.67	24.17	9.4	7.9	5.6	4.8
AC2.03	AlamoCross	eastern	3.6	35	18	0.7	15	0.7	17	1.1					4.395348837	0.511627907	0.116402116	47.96	8	25.01	24.28	6.45	7	4.7	3.8
AC2.04	AlamoCross	eastern	2.3	15	21.5	0.8	20.5	0.4	22.5	1.1	22.5	1.2	19.5	1.1	2.743801653	0.314049587	0.114457831	43.74	7.47	21.65	25.58	8.15	5.9	5.7	4.4
AC2.07	AlamoCross	eastern	3	26	26	1.3	22	0.7	24	0.8	26	0.8	19.5	0.6	1.842105263	0.666666667	0.361904762	55.74	11.93	27.08	22.31	7.51	7.1	5.7	4.6
AC2.06	AlamoCross	eastern	3.5	24	20	0.8	25.5	0.8	22.5	0.8	22	0.7	21	0.7	3.743589744	0.871794872	0.232876712	60.14	12.26	28.64	22.03	7.1	6.9	5.4	4.5
AL.08	AlamoLake	eastern	3	30	30	31	28	28	26	0.9	1.2	1.1	1.2	1	2.287671233	0.493150685	0.215568862	60.22	9.71	11.21	24.62	8.94	5.4	5.6	4.7
AL.09	AlamoLake	eastern	3.25	34	34	28	28	31	28	1.3	1.1	1	1.1	1.2	3.604651163	1.837209302	0.509677419	43.27	15.56	19.34	24.74	9.51	8.9	6.5	5.1
DM.01	DelmarVal	eastern													2.275114286	1.132114286	0.497607656	51.66	11.3	23	20.23	8.2	6.2	6	4.7
DM.02	DelmarVal	eastern													1.612669091	0	0	57.23	10.9	28.42	23.97	7.58	6.9	5.2	4.5
DM.03	DelmarVal	eastern													1.624132852	0.165054152	0.101626016	37.83	9.46	17.99	19.25	7.42	5.2	5.5	4.2
DM.05	DelmarVal	eastern	4.2	98	15	0.9	15	0.9	14	0.85	16	0.9	15	0.9	2.875	0.267857143	0.093167702	41.66	9.21	24.58	22.29	7.48	8.2	5.5	4.4
DM.07	DelmarVal	eastern	3.2	45	10	0.59	10.5	0.6	14	0.6	16	0.6	13	0.7	1.915789474	0	0	45.46	10.93	23.19	21.63	7.11	8.4	6.6	4.4
DM.08	DelmarVal	eastern	1.4	4	19.5	1.3	16	0.9	17.5	1	19	1.3						53.31	15.35	29.6	20.97	8.67	4.7	5.6	4
DM.09	DelmarVal	eastern	4.5	95	14	0.7	12	0.8	10.5	0.75	12	0.7	12	0.67	2.891891892	0	0	46.99	12.21	23.75	24.85	8.39	5.9	5.1	4.3
DM.10	DelmarVal	eastern	0.5	2	15	1	16.5	1.1							1.435483871	0.532258065	0.370786517	37.99	10.79	18.33	22.9	6.48	8.5	5.6	4.5
DS.01	DolanSprings	eastern	2.25	11	17	0.8	20	1.1	21	1	17	0.9	20	1.2	3.128834356	0.969325153	0.309803922	47.05	13.84	12.93	22.94	10.26	5.5	5.3	4.9
DS.02	DolanSprings	eastern	2.75	28	16	0.8	17	0.9	18	1	19	1	18	0.9	2.613756614	0.608465608	0.232793522	45.38	11.11	12.92	22.43	7.41	5.1	2.2	1.8
DS.03	DolanSprings	eastern	1.75	21	16	0.8	15	0.8	15	0.7	15	0.6	16	0.7	3.110552764	0.653266332	0.210016155	39.43	12.2	18.92	24.48	8.65	5.5	4.8	4
DS.04	DolanSprings	eastern	3.25	32	18	0.5	14	0.6	19	0.8	16	0.8			4.267123288	1.54109589	0.361155698	53.55	8.45	7.24	35.31	11.5	8.1	4.9	4.2
DS.05	DolanSprings	eastern	3.25	16	19	1	19	1	18	0.9	17	0.8	15	0.7	2.767123288	0.506849315	0.183168317	46.17	9.23	10.82	26.68	10.22	5.9	5.5	3.3
DS.06	DolanSprings	eastern	3.5	32	15	1.1	17	0.8	15	0.9	17	1	14	1	3.504950495	0.306930693	0.087570621	49.78	6.96	6.33	22.49	6.73	6.5	3.5	2.5
DS.07	DolanSprings	eastern	2.25	21	12	1	11	0.8	13	0.8					2.638461538	0.369230769	0.139941691	41.02	9.75	10.34	24.13	9.56	6	2.3	1.5
DS.08	DolanSprings	eastern	1	8	16	0.8	16	1	17	0.8	16	1	17	0.9	2.127659574	0.865248227	0.406666667	38.33	8.84	11.57	26.94	8.55			
DS.09	DolanSprings	eastern	1.5	15	14	0.7	13	0.8	15	1	16	0.8	15	0.8	2.215384615	0.310769231	0.140277778	56.99	10.59	10.49	35.12	13.27	8.2	4.7	3
