"Microsat data for Joshua tree, from Yoder et al 2013, JEB"											
408	28	10	2	3	type
JoshuaTree	west
SanAndreas	west
FreemontPk	west
KramerHills	west
CacutsFlats	west
Trona	west
EurekaValley	west
GoldPoint	west
ClaytonValley	west
MontezumaPk	west
NevTestSiteII	west
TVSouth	west
TikabooValley	contact
HancockSummit	east
DelamarVal	east
EightmileVal	east
SheepRange	east
SheepPass	east
Shivwitts	east
YuccaForest	east
IndianRidge	east
KingstonMtns	east
Cima	east
Searchlight	east
DolanSprings	east
Wikieup	east
JoshuaTreePk	east
AlamoLake	east
Population	Individual	YB04	YB06	YB12	YB13	YB01	YB15	YB21	FIL36	YB08	YB22	
11	i58604	142152	211225	101105	183223	153177	192192	099113	179179	149170	171185
11	i58605	142145	219228	101113	173187	169175	182196	097117	159165	121144	150167
11	i58606	142152	215236	101109	181183	167169	176178	095101	159167	128144	150167
11	i58701	145156	225232	109125	181199	161171	186194	091091	165165	128128	173181
11	i58702	142142	228236	109125	167181	165169	178188	095095	165165	128140	177185
11	i58703	145154	223228	101109	173189	171182	174174	091111	167167	128144	153181
11	i58704	131154	227232	109113	173173	155165	182199	099103	159165	123126	175186
11	i58705	147154	232232	101109	183197	153159	186201	091099	165167	137137	150181
11	i58801	156164	232232	105105	181225	165173	186196	091107	167167	126154	177183
11	i58802	145154	221230	101105	177179	171173	182196	099103	179179	123140	173186
11	i58803	142162	228232	113113	181191	153165	184188	095095	165165	128128	155177
11	i58804	142145	215236	109109	167183	165167	188192	091113	165165	140140	150185
11	i58805	142164	228236	109125	183189	169169	186186	091095	165165	123131	173177
12	i126001	152162	211219	101105	191205	169169	188196	091091	167167	122156	163194
12	i126002	156162	219240	105109	183189	157161	196196	091111	167167	140156	183252
12	i126003	162166	228232	105105	189191	165169	174188	091109	167167	123158	163183
12	i126004	154156	219227	105109	175199	161194	174196	091109	161161	122162	181183
12	i126006	145149	217223	109125	189205	159177	188196	091115	167167	123123	175185
12	i126007	145145	211213	105105	191191	159169	196196	091091	165165	121142	177179
12	i126008	149156	219223	109109	183199	161192	188196	095115	169169	124165	183183
12	i126009	147147	213221	109109	179183	163171	188197	111111	151167	121121	161185
12	i12601	145176	227240	101101	179199	161161	121121	196196	169169	147162	179194
12	i126301	145145	209227	101109	175183	171171	188196	095111	165175	142162	179183
12	i126302	145168	213225	101109	179187	165171	174188	109115	169169	124124	163175
12	i126303	156176	221227	105109	171199	171173	182196	121121	165165	122147	183194
12	i126304	145145	213215	105113	175183	165171	197197	107121	151167	120142	161185
12	i126305	162176	219227	101101	183183	159159	194196	107107	169169	131147	177181
12	i126306	156170	227229	105105	183189	159171	196196	121121	163169	142156	161181
12	i126307	156152	213221	109111	179187	157169	174196	099109	169169	122165	163183
13	i868	145152	227227	101101	175175	159175	182194	091099	169169	123137	183183
13	i869	140152	221232	105105	191197	167177	182196	115115	153165	137137	181181
13	i870	145147	223227	101125	197203	155159	182190	099109	153167	137137	169197
13	i871	149172	208223	105105	175183	163163	182186	099099	163163	122131	181195
13	i872	140149	213232	109109	175197	155167	190197	115119	161161	137140	175175
13	i873	140166	221232	105105	167175	165167	174186	099111	177177	123123	169181
13	i875	140140	221232	105105	175179	171184	174178	099113	151161	126137	170171
13	i876	140160	205219	101105	175183	155175	188196	115119	167167	127142	189189
13	i877	149154	221221	105109	175175	149171	182188	111111	165165	133133	150169
13	i878	145166	221232	101105	189199	165167	174186	099121	169177	123140	169183
13	i879	149149	217221	105105	167205	159179	182196	097119	163167	142142	179179
13	i880	149170	219225	105121	175175	157163	182190	093099	165167	129235	175175
13	i881	154158	213221	113113	179197	161171	174186	115121	159163	129137	173186
13	i884	140170	208230	105105	183183	163163	186197	097099	167171	135135	169195
13	i885	140145	208221	105105	175175	144159	190190	097103	163169	135135	169189
13	i886	140145	208221	105105	175175	144159	190190	095095	163169	135135	169189
13	i887	149166	213213	105105	189197	159163	174182	099121	167167	135140	169169
13	i888	145154	217223	109109	175175	153171	178196	099099	149165	135140	181181
13	i889	147154	217217	105105	175197	155163	178196	099111	167167	140147	181181
13	i890	145160	208208	109109	201201	136171	207207	099099	167167	137137	161181
13	i891	145149	208234	101109	197201	167171	194205	099099	167167	135135	181186
13	i892	140147	213227	105105	189197	155175	190196	099109	165187	140140	175187
13	i893	154166	217232	105109	167197	159159	174174	111115	167167	122135	150169
13	i894	154166	232232	105109	189189	155167	196196	111115	167167	123140	150169
13	i895	140147	221223	105109	175177	155171	190190	095097	169169	129135	169169
13	i896	147154	213221	105109	175203	159173	182182	115115	165165	137137	191191
13	i897	140149	219219	105109	193207	151163	178196	099099	167167	128147	192195
13	i898	147172	213217	105105	175207	144155	182196	095099	167167	140140	171171
13	i899	147170	225232	109121	175175	165167	190207	111111	151163	135135	177185
13	i900	140145	213219	105105	175199	163167	186188	099099	165167	137140	175175
13	i901	149166	221225	105105	167167	167171	188188	097099	169169	135142	169169
13	i902	140147	221221	105105	167175	171171	188197	097099	167167	129135	187187
13	i903	147147	221223	105105	175179	144144	182190	099111	161161	140147	187189
13	i904	147149	221227	105117	175203	144171	188199	099099	153163	135137	181185
13	i905	152162	227227	109109	173173	163171	174196	093093	151151	142142	177185
13	i906	140172	223225	105105	167167	167171	182188	095111	167167	129135	181185
13	i907	140147	223232	105113	167175	159163	178196	111111	165165	135135	169186
13	i908	147149	221221	105113	167167	155159	188196	097099	169169	133137	171171
13	i909	140168	213225	109109	175201	144159	184196	111115	163167	135140	150169
13	i910	147147	217227	101105	175189	165167	186186	095099	159159	140142	161195
13	i913	140147	211227	105109	191191	149163	186205	099099	165165	140140	189189
13	i914	145149	208217	105109	167167	155159	186196	109109	151151	135142	193193
13	i916	147172	225232	105121	189197	144155	182190	095099	161167	135137	181187
13	i917	145147	219221	105109	177195	159177	174194	099111	167167	121121	150179
13	i918	147149	219228	105113	177195	149179	174196	099111	151151	121121	150179
13	i919	145147	219221	105113	195211	149159	174194	099099	151151	121121	150150
13	i920	145158	225228	105113	195211	149159	194194	099111	151151	121126	150179
13	i921	145154	213227	105105	175179	144149	176190	099113	151151	147147	175181
13	i923	147168	209223	109109	175211	149163	176176	095095	175175	124142	167173
13	i924	162168	219227	105109	183183	149171	174176	099099	163169	126126	175179
13	i926	147162	217225	105109	191191	146167	190190	099099	165169	126135	183183
13	i950	154158	217227	105105	175191	149179	176194	099109	169169	126165	150185
13	i963	147158	223227	105105	183187	161171	194205	113113	167167	130142	179179
13	i975	145152	227232	105121	175197	157157	197197	111111	163163	135135	167189
13	i976	149149	232234	105121	195211	159180	197197	099109	169169	129135	169189
13	i1008	145145	208223	121121	179183	163165	207207	097111	151165	135135	189189
13	i1012	142149	217230	105105	173175	157159	197197	111111	163163	140140	169189
13	i10219	154166	209217	109109	189189	163169	188192	109111	169169	126142	183183
13	i10220	145158	213227	105105	189195	169173	174188	101115	149169	142142	186186
13	i10221	149149	221227	105105	175175	144163	188199	121121	169169	121135	167189
13	i10222	147158	209221	105113	175189	169171	205205	099109	165169	140142	173183
13	i10223	152158	209236	105113	175175	149169	178205	099117	169169	126151	169183
13	i10224	154158	209223	101105	187189	169173	188194	095099	161165	126131	150183
13	i10225	136158	209230	105105	167187	169171	174205	109111	169169	126142	181181
13	i10226	147166	209221	105105	177187	149169	188190	109113	151165	129142	179179
13	i10227	154158	209217	109109	189207	163169	192205	109115	165165	126142	150183
13	i10228	129158	209221	101105	195195	159169	182205	107109	167169	142170	181181
13	i10229	136166	209223	105105	189203	167169	188188	095109	149165	123142	186186
13	i10230	149166	209230	105105	189193	157169	174188	099111	165167	142142	179181
13	i10231	149158	227227	105105	167189	157169	174188	099113	165167	142142	179181
13	i10232	145172	221230	105121	179201	144175	190205	113113	151151	129142	181183
13	i10233	154158	209219	109105	177177	151169	196205	101109	167169	126162	150183
13	i10234	149158	227227	105105	189193	169171	174188	099111	169169	126135	181181
13	i10235	152166	209225	105105	189205	169179	188190	109109	151169	126130	179183
13	i10236	149158	209225	177187	177187	169175	190205	099099	165169	140142	179193
14	i85401	142146	208215	105105	183197	151157	188197	091097	163167	135135	187191
14	i85403	149162	208227	121121	175197	149157	197197	093099	151151	120120	187187
14	i85404	145160	215227	105105	175197	157169	197197	099111	151153	123123	189191
14	i85405	142144	208234	105109	173199	151155	197197	099111	163163	135135	179181
14	i85406	140152	208211	105105	183211	144161	186186	099099	163163	135135	165169
14	i85501	136152	208232	105125	191211	157167	196197	099099	151151	122122	187187
14	i85503	140152	208225	109121	175201	151165	196197	099099	167167	122122	169191
14	i85505	149151	221227	121125	173183	138157	186205	099109	167167	120135	170187
14	i85506	142164	208211	105109	175175	136163	199205	099099	153163	120120	184189
14	i85507	149164	213225	105105	175175	159165	186207	099111	151167	135135	189189
14	i85601	147147	215228	105125	173197	151157	186197	099099	163163	128128	184188
14	i85602	145149	230234	105109	173181	144151	197197	097099	163163	120144	189195
15	i60701	164166	228232	105105	183209	151159	192207	097097	163163	124124	169169
15	i60702	170170	225225	125125	183197	153159	194196	091097	151151	120120	176197
15	i60703	170170	232236	105113	209209	149151	190201	097097	151151	128135	167192
15	i60704	170172	232236	109125	183191	161175	188194	097097	151151	135135	169173
15	i60705	166168	230232	125125	187187	173175	196197	097109	151151	135137	206206
15	i60801	152168	223227	121125	183209	151179	188197	097113	151151	128135	175206
15	i60802	149166	225225	105121	179191	159163	197203	091091	151161	127127	169169
15	i60803	154172	225225	105105	183183	149177	194197	097097	151161	128135	175175
15	i60804	166170	227236	105105	169185	151161	194207	091123	151153	124124	167176
15	i60805	152166	215232	105109	179179	151151	194194	097115	151151	133135	169169
15	i60901	154168	223232	105105	171197	151155	188209	097097	151151	124124	165171
15	i60902	145154	232232	105105	183193	149161	182188	097097	151153	124128	171171
15	i60903	162166	238244	109109	197197	151175	207207	097097	161163	124135	169169
15	i60904	142152	230230	109109	193211	151171	201207	091097	151151	124124	169171
15	i60905	140168	232232	105105	171209	149149	197209	097115	167167	123124	173179
16	i61105	149154	228228	109109	169183	157161	188188	091115	151151	128135	175206
16	i61202	134136	238249	105109	169201	157165	188197	097105	151161	128135	169193
16	i61203	154164	219228	105105	187187	155163	196209	091097	151153	124124	167177
16	i61204	145154	232252	105105	171197	171180	188196	107109	151151	135135	189189
16	i61205	149164	225225	105113	193193	155159	178207	113115	151151	124124	165171
16	i61301	152156	225225	105105	175201	159163	188194	101107	151151	124128	171171
16	i61302	162166	230252	105113	195195	155165	205205	099123	161163	124135	169169
16	i61303	154162	223244	105113	179201	149151	207209	097115	167167	124135	169171
16	i61304	149152	208228	109117	177177	157159	203207	091115	151161	124131	173179
16	i61305	145145	208225	105105	169191	149161	188207	107115	165169	142142	183189
17	i60002	145162	208227	105105	173205	157165	190190	099099	163163	122135	184195
17	i60003	145149	238246	105113	199205	149159	196196	099101	151161	122122	171187
17	i60004	136160	221227	121121	173197	153157	196197	099099	163167	123123	189204
17	i60005	160162	208213	105109	173183	159165	197197	099101	151151	122123	169169
18	i61403	140152	204225	105109	177179	155165	196196	105107	167167	121124	167167
18	i61404	149168	215227	105121	191191	157165	197197	101105	161167	121121	191191
18	i61405	152162	223244	105105	205205	167171	196197	095117	167167	122122	187193
19	i56301	142147	254254	109109	197207	155159	190190	101105	167167	120135	167167
19	i56302	142147	254254	105109	197207	155159	190190	101105	161167	120135	169173
19	i56303	142147	252254	105109	197207	155159	188192	101105	161167	120135	170173
19	i56304	142147	236254	105109	197207	155159	190190	101105	161167	120135	170173
19	i56501	149158	221223	105105	189189	149157	174188	093093	159167	127127	177187
19	i56601	138149	242242	105121	185207	155177	188199	097111	151175	122124	171189
19	i56602	138149	242242	105121	185207	155177	188199	097111	151175	122124	171189
19	i56701	147154	215238	105109	197203	155159	199199	093095	153159	127127	163167
19	i56702	147154	215238	105109	197203	155159	199199	093095	153159	127127	163167
19	i56703	147154	215238	105109	197203	155159	199199	093095	153159	127127	163167
19	i57001	142152	228242	109125	197201	142175	192197	105105	153153	126126	175177
19	i57002	142152	228242	109125	197201	142175	192197	105105	153153	126126	175177
20	i59301	138168	213228	109109	187215	146159	196196	091093	163171	122122	181181
20	i59302	152162	227232	105109	177177	146159	196196	091093	161163	137137	167167
20	i59303	149170	208208	109109	197197	159167	196196	099111	151151	122122	177181
20	i59304	142147	211215	109109	175209	159163	186186	099103	161167	131131	167197
20	i59305	158160	213213	109109	201201	167169	197197	101109	151163	120120	171189
20	i59401	149170	211221	105105	175185	151159	199203	105111	151167	121121	189193
20	i59402	138170	209215	105105	197207	153157	199213	093105	167169	121121	169175
20	i59403	147154	219244	109125	209209	153165	174174	099109	151165	137137	175179
20	i59404	152152	225232	105105	185211	151157	199201	111111	163163	122137	196196
20	i59405	156166	213213	105109	201201	161163	197199	097099	151167	135137	177192
20	i59501	136142	213238	109109	193205	151157	197201	111111	161165	126142	175189
20	i59502	152164	213228	105109	167215	153180	192196	097103	165171	122131	181196
20	i59503	164170	219219	109109	167167	144175	196197	101111	151163	122122	177189
20	i59504	156162	217217	109109	175175	155161	190197	111111	151161	122122	191196
20	i59505	136166	227242	109109	167211	161163	192197	103103	161167	122126	165185
21	i59001	164168	211230	105128	203209	155167	188197	101107	151167	122122	187187
21	i59005	149154	221223	105113	173177	155159	182197	095107	161163	127144	181181
21	i59101	147160	223223	105105	177177	159167	186186	089095	151161	121122	181193
21	i59102	149156	225242	109109	217217	149153	192192	093093	161167	120135	167179
21	i59103	149152	209209	105113	177177	146153	186197	105117	151151	122124	183195
21	i59104	156168	215228	105105	199203	157159	182197	097105	161161	126135	169177
21	i59105	147158	219238	105105	177177	157161	194194	095099	151163	135135	169173
21	i59106	149156	217223	105117	211211	153161	192197	093107	151161	121135	167167
21	i59107	145147	217228	109109	193193	151171	182188	099099	151151	131137	181181
22	i51901	147152	213230	105105	175175	163171	190209	101107	163163	137137	191191
22	i51902	140154	211234	105117	171193	149153	184199	109109	163169	120120	179179
22	i51903	164176	213213	105105	173193	163171	186203	089121	165165	120137	186186
22	i51905	134152	225230	101113	171171	151167	209209	105105	163167	127127	181195
22	i52001	154160	219230	105109	175185	151163	174174	095099	165165	120122	191191
22	i52002	154160	219230	105109	175185	159161	207209	103105	163163	120120	195195
22	i52003	152154	219225	109109	177223	153155	190190	101105	165165	127127	184184
22	i52004	136162	213221	105109	171193	157171	184184	099099	165165	121121	191191
22	i52005	152152	209236	109117	175189	165167	176190	107113	163169	137137	181191
22	i52201	145164	225228	105109	169169	151159	190190	095109	161161	127135	181181
22	i52202	140164	209219	109109	177189	163167	190209	095107	163163	120120	189189
22	i52203	156164	230230	105105	189199	153163	190205	101105	163165	120120	165191
22	i52204	152164	209249	109109	189209	155167	190209	095101	165165	120120	191191
22	i52205	140156	225232	105109	175201	159163	190190	103103	165169	131144	191191
23	i47601	152162	232234	105117	183201	171173	186186	115119	159159	129129	165208
23	i47602	152162	232234	105117	183201	171173	190190	115119	161167	133133	175175
23	i47603	156160	228228	105109	177209	163165	194197	099105	161167	129129	165165
23	i47604	160162	223227	109117	177197	151169	194199	109111	163163	121122	165187
23	i47605	152158	219234	105109	177213	161186	190194	107111	165165	121137	177177
23	i47703	147154	217230	109109	175177	157159	192194	103103	161161	121122	171187
23	i47704	134152	223228	105113	177177	161167	190190	117119	163181	123133	163177
23	i47705	134154	228228	105109	177177	151159	190209	109113	169169	121121	179184
23	i47803	147168	227227	105105	195199	151163	182182	119119	165165	122122	179191
23	i47804	160170	217234	109117	189211	165171	199199	101115	169169	122122	185191
23	i47901	134154	215228	105109	167167	151167	182190	107119	161161	124133	163171
23	i47902	154162	217232	105109	175201	161175	188192	101101	155161	122122	177177
23	i47903	162166	217223	105109	197201	161163	188205	101107	151155	122124	171171
23	i47904	158170	228230	105109	177213	149161	199214	099107	173173	122128	165177
23	i47905	160166	219232	105109	197213	155161	192194	107117	165165	122124	191191
24	i47303	145156	221227	109109	177205	151161	192194	101111	153153	122140	161184
24	i47304	160160	215225	113117	177221	151151	190190	103103	163163	122122	173191
24	i47305	149152	217219	105109	193205	169171	192192	095103	161161	122142	183199
24	i47306	149166	225234	109109	171205	165165	168190	101111	163175	122137	167167
24	i47307	158162	228228	109113	177205	142159	194197	103113	163163	137140	163163
24	i47401	152172	221227	105105	177195	149153	190192	113113	159167	122122	183191
24	i47402	156160	221232	105117	171193	163163	184196	107115	163169	122122	177218
24	i47403	164172	221234	109109	197197	159177	184184	099099	163163	122122	186186
24	i47404	170172	211217	105105	205205	155169	217217	093111	163163	133142	173173
24	i47405	156166	228228	113121	167177	151165	190219	111117	151173	122140	193193
24	i47406	147152	208240	105109	171185	151155	214214	103113	167173	122122	165176
24	i47503	164179	215219	109117	177177	142149	184203	111111	167167	122122	175181
24	i47504	158166	221228	109109	177193	155159	182188	115115	151151	123123	196196
24	i47505	147160	219221	109109	177197	149159	184184	103103	151151	133133	167167
24	i47506	158170	225242	105105	167173	157173	186190	095095	165165	122133	161167
25	i52801	136147	217221	105109	169197	155169	199207	093099	153171	122122	169169
25	i52802	168168	217236	109109	167171	151169	196205	101113	153171	127140	173181
25	i52803	154164	221223	109117	189205	161161	201207	113113	151165	140140	177201
25	i52804	142154	215217	105105	179179	163169	196209	101101	153165	122140	181185
25	i52805	164168	217236	109109	171179	153157	196211	101115	165165	128128	181181
25	i52901	156160	211211	105109	169193	161167	188214	101109	151159	127127	185185
25	i52902	164168	240242	101109	189197	149177	190196	121121	161163	122122	167205
25	i52903	156168	215223	109113	171177	159169	192196	105105	167167	122122	185185
25	i52904	152154	227227	109109	175211	151151	182188	095109	153153	122122	175185
25	i52905	136158	215242	101109	189197	153169	190199	105109	153161	135135	185205
25	i53001	145168	215240	109109	197211	153169	196199	095095	163165	122122	185185
25	i53002	158168	227230	105109	191191	140157	182192	095111	151153	122131	181194
25	i53003	145168	215223	105105	179211	140157	196209	103113	153153	144144	175194
25	i53004	160166	230238	109109	177199	142161	180203	095099	161171	126140	169201
25	i53005	145156	213215	105113	181197	144161	182188	097119	151167	122122	175179
26	i46603	152156	228236	109109	173191	167171	195205	095095	165165	122124	176204
26	i46604	152156	223228	105105	191191	163167	186197	095119	151151	122122	204214
