Tegeticula synthetica microsat data from Yoder et al (2013, JEB)
116	19	9	2	3
JoshuaTree
YuccaValley
FreemontPk
KramerHills
FossilBedRd
RandMountains
LancasterPalmdale
CactusFlats
Trona
TinMountain
EurekaValley
GoldPoint
ClaytonValley
MontezumaPk
CraterValley
NevTestSite
NevTestSiteII
TVSouth
TVsyn
Population	Individual	Clone	TS02	TS03	TS06	TS13	TS14	TS01	TS05	TS09	TS15
12	GP04	101	103107	104104	109109	104105	110114	100100	105106	104105	103116
12	GP05	101	103107	104108	106110	105105	114117	103105	103106	104105	112132
13	CV01	101	105109	104108	109109	105105	112114	105105	104104	104105	101109
13	CV02	101	104105	104104	109109	105107	112114	105105	104106	104104	109117
13	CV03	101	109110	108109	109109	105105	113114	103105	103103	104106	109111
13	CV04	101	107110	108109	109109	104106	109113	105105	103106	106106	115115
13	CV05	101	103109	104104	109109	106109	109123	104105	103103	104105	113115
14	MZ01	101	106110	107109	108108	105109	112115	105105	103104	105105	101110
14	MZ02	101	103110	104104	109109	104105	115117	103106	103103	104105	111115
14	MZ03	101	103104	104108	109109	105105	114114	105105	103104	106110	112124
15	CR01	101	103103	108108	107107	106106	116126	103105	103103	104106	122138
15	CR02	101	104109	106106	109110	103103	113124	103106	103104	105107	110111
15	CR03	101	103104	104106	109109	103103	109124	103106	103104	107107	110112
15	CR04	101	107107	104107	108108	104105	112113	103105	103104	105105	134141
15	CR05	101	107109	107112	103108	107107	113116	102105	104105	105105	113140
16	NTS01	101	105110	104104	109109	105109	110117	103106	103104	105108	104116
16	NTS02	101	107109	104106	106110	106108	120125	105105	103104	107107	111125
16	NTS03	101	108113	107107	110110	105110	116117	106106	103104	104105	104114
16	NTS04	101	107113	106107	107107	106106	116117	105106	104106	105107	116126
16	NTS05	101	107123	105106	109110	105121	112115	103103	104104	104105	113115
16	NTS06	101	107112	104108	110110	105105	116121	103105	103104	104104	104114
16	NTS07	101	107109	106107	110110	102105	109110	103103	104105	104106	105115
16	NTS08	101	108110	105107	109109	105106	109110	103104	103103	105107	110113
17	NTS201	101	105108	104106	110110	102105	113113	104105	103104	104106	124144
17	NTS203	101	108119	104106	110110	105105	122123	105106	104105	104105	119122
17	NTS204	101	109113	107107	109109	106106	116123	105105	103104	105110	101104
17	NTS205	101	109110	104107	106106	106113	114116	105105	103105	104105	113122
17	NTS206	101	107108	104106	106106	105107	110125	105106	103104	105105	114116
17	NTS207	101	109109	107107	109109	105106	109120	104104	103103	104105	105166
18	TVS01	101	105114	106108	108108	105106	114116	106106	105105	102105	122127
18	TVS02	101	108115	106106	109109	105105	112115	103105	104105	104105	109126
19	TV001	101	110110	106107	108109	104105	115115	103105	103105	105105	121133
19	TV003	101	102112	104108	109109	105106	117117	105105	103105	104111	109148
19	TV004	101	103112	105112	109109	106106	109117	105106	104104	104107	115129
19	TV022	101	109110	104107	108108	105105	112113	103106	103105	104105	109109
19	TV030	101	108112	104107	109109	104105	109116	105105	105105	107107	105110
19	TV032	101	109112	100100	106108	106106	111113	103105	104104	104105	105127
19	TV034	101	108113	107107	106106	104111	113114	104105	103104	104105	126139
19	TV102	101	111112	106109	108108	105105	113122	103103	103103	103105	109127
19	TV106	101	110110	106107	106106	108110	115116	103105	103104	105105	119133
19	TV189	101	111114	104107	108108	106106	106116	105105	104104	105110	122125
